Fig.2c.fw.Voltage (V),Fig.2c.fw.J (mA/cm2),Fig.2c.rv.Voltage (V),Fig.2c.rv.J (mA/cm2),Fig.3b.Planar.Voltage (V),Fig.3b.Planar.J (mA/cm),Fig.3b.Nano.Voltage (V),Fig.3b.Nano.J (mA/cm),Fig.3b.Micro.Voltage (V),Fig.3b.Micro.J (mA/cm)
0.69,-20.0356,0.31,-20.2638,1.01,16.58695,1.01,17.31829,1.01,17.72174
0.7,-20.0452,0.3,-20.264,1,16.5909,1,17.33557,1,17.73434
0.71,-20.0318,0.29,-20.269,0.99,16.60202,0.99,17.34588,0.99,17.7436
0.72,-20.0118,0.28,-20.274,0.98,16.60309,0.98,17.35701,0.98,17.75463
0.73,-20.0068,0.27,-20.2804,0.97,16.60779,0.97,17.37221,0.97,17.77337
0.74,-20.0062,0.26,-20.2858,0.96,16.61703,0.96,17.38533,0.96,17.77587
0.75,-20.0088,0.25,-20.2792,0.95,16.62423,0.95,17.39532,0.95,17.79503
0.76,-20.0142,0.24,-20.2826,0.94,16.62859,0.94,17.40874,0.94,17.79785
0.77,-20.0206,0.23,-20.2886,0.93,16.63505,0.93,17.41655,0.93,17.81366
0.78,-20.0218,0.22,-20.2938,0.92,16.63589,0.92,17.42603,0.92,17.82188
0.79,-20.0138,0.21,-20.2932,0.91,16.63706,0.91,17.44278,0.91,17.83145
0.8,-20.009,0.2,-20.2958,0.9,16.64972,0.9,17.44664,0.9,17.83803
0.81,-20.0004,0.19,-20.2962,0.89,16.64972,0.89,17.46277,0.89,17.85195
0.82,-20.009,0.18,-20.2884,0.88,16.65431,0.88,17.47609,0.88,17.86164
0.83,-20.001,0.17,-20.2694,0.87,16.66499,0.87,17.48161,0.87,17.87298
0.84,-19.9862,0.16,-20.2794,0.86,16.66618,0.86,17.49316,0.86,17.88162
0.85,-19.96348,0.15,-20.295,0.85,16.6683,0.85,17.51002,0.85,17.89339
0.86,-19.93448,0.14,-20.3044,0.84,16.67679,0.84,17.51544,0.84,17.89901
0.87,-19.91436,0.13,-20.3116,0.83,16.6825,0.83,17.52595,0.83,17.90921
0.88,-19.88564,0.12,-20.313,0.82,16.68563,0.82,17.53823,0.82,17.92025
0.89,-19.86216,0.11,-20.3108,0.81,16.69126,0.81,17.545,0.81,17.92982
0.9,-19.8227,0.1,-20.2996,0.8,16.69656,0.8,17.55499,0.8,17.93638
0.91,-19.78292,0.09,-20.312,0.79,16.70082,0.79,17.5705,0.79,17.9474
0.92,-19.7227,0.08,-20.3206,0.78,16.70706,0.78,17.57362,0.78,17.95314
0.93,-19.63912,0.07,-20.3252,0.77,16.7082,0.77,17.58486,0.77,17.96312
0.94,-19.54324,0.06,-20.3308,0.76,16.70917,0.76,17.596,0.76,17.97061
0.95,-19.4163,0.05,-20.3316,0.75,16.71914,0.75,17.60319,0.75,17.97437
0.96,-19.26684,0.04,-20.3372,0.74,16.72632,0.74,17.61265,0.74,17.98736
0.97,-19.07978,0.03,-20.338,0.73,16.7256,0.73,17.61993,0.73,17.99487
0.98,-18.85332,0.02,-20.3404,0.72,16.73236,0.72,17.63128,0.72,17.99809
0.99,-18.57222,0.01,-20.3372,0.71,16.73611,0.71,17.63982,0.71,18.01007
1,-18.21472,-9.74915E-16,-20.333,0.7,16.74101,0.7,17.65232,0.7,18.01882
1.01,-17.79418,-0.01,-20.3084,0.69,16.74414,0.69,17.66054,0.69,18.02662
1.02,-17.29228,-0.02,-20.2826,0.68,16.75391,0.68,17.66355,0.68,18.03401
1.03,-16.6977,-0.03,-20.2586,0.67,16.75411,0.67,17.67865,0.67,18.04047
1.04,-16.00442,-0.04,-20.2574,0.66,16.75989,0.66,17.68552,0.66,18.04337
1.05,-15.1923,-0.05,-20.2746,0.65,16.76173,0.65,17.69333,0.65,18.05712
1.06,-14.2532,-0.06,-20.277,0.64,16.76422,0.64,17.70363,0.64,18.05899
1.07,-13.17748,-0.07,-20.2996,0.63,16.77327,0.63,17.71362,0.63,18.06744
1.08,-11.95888,-0.08,-20.313,0.62,16.7765,0.62,17.72071,0.62,18.07877
1.09,-10.60498,-0.09,-20.315,0.61,16.77848,0.61,17.73174,0.61,18.07689
